aerolinea,origen,destino,distancia_km,retraso,anio,mes,es_fin_semana,bloque_horario
IB,AEP,EZE,11792,0,2025,1,0,madrugada
IB,AEP,EZE,10355,0,2025,1,0,madrugada
AA,GRU,EZE,5226,0,2025,1,0,madrugada
LA,EZE,AEP,7768,1,2025,1,0,madrugada
IB,MAD,AEP,1836,0,2025,1,0,madrugada
AR,MAD,AEP,3391,0,2025,1,0,mañana
AR,EZE,MIA,4146,0,2025,1,0,mañana
AR,MIA,AEP,2278,0,2025,1,0,mañana
AR,MAD,MIA,9486,0,2025,1,0,mañana
AA,MAD,GRU,5518,0,2025,1,0,mañana
AR,EZE,MIA,4235,1,2025,1,0,mañana
IB,EZE,AEP,1752,1,2025,1,0,tarde
G3,EZE,MIA,1812,1,2025,1,0,tarde
AR,MIA,MAD,7556,0,2025,1,0,tarde
AA,GRU,MIA,2241,0,2025,1,0,tarde
AA,AEP,MIA,3335,0,2025,1,0,tarde
AR,GRU,AEP,8194,0,2025,1,0,tarde
G3,GRU,EZE,5659,1,2025,1,0,noche
AR,EZE,GRU,1139,1,2025,1,0,noche
AA,EZE,GRU,3940,1,2025,1,0,noche
LA,EZE,GRU,11162,0,2025,1,0,noche
IB,AEP,GRU,7465,0,2025,1,0,madrugada
AA,GRU,AEP,6870,0,2025,1,0,madrugada
AR,AEP,GRU,8775,1,2025,1,0,madrugada
IB,MAD,GRU,11658,0,2025,1,0,madrugada
AR,GRU,MAD,2200,1,2025,1,0,madrugada
AR,AEP,GRU,9244,0,2025,1,0,madrugada
LA,AEP,MIA,7117,0,2025,1,0,madrugada
IB,MIA,EZE,4874,0,2025,1,0,madrugada
IB,AEP,EZE,4738,0,2025,1,0,mañana
LA,AEP,MIA,1826,1,2025,1,0,mañana
AA,MIA,MAD,5574,0,2025,1,0,mañana
AR,AEP,MAD,7578,0,2025,1,0,mañana
G3,GRU,MAD,8658,1,2025,1,0,mañana
AR,EZE,MAD,3650,0,2025,1,0,mañana
AR,GRU,AEP,4932,0,2025,1,0,tarde
AA,EZE,MIA,6005,0,2025,1,0,tarde
AR,MIA,MAD,11637,1,2025,1,0,tarde
LA,AEP,EZE,1731,0,2025,1,0,tarde
LA,MIA,AEP,5879,0,2025,1,0,tarde
IB,MIA,AEP,9021,1,2025,1,0,tarde
G3,MIA,EZE,5349,0,2025,1,0,noche
AR,GRU,MAD,9815,1,2025,1,0,noche
AR,MIA,EZE,9975,1,2025,1,0,noche
AA,AEP,MAD,748,0,2025,1,0,noche
LA,MAD,EZE,10652,0,2025,1,0,madrugada
G3,MIA,EZE,2170,1,2025,1,0,madrugada
IB,EZE,GRU,5733,0,2025,1,0,madrugada
LA,AEP,MAD,3811,0,2025,1,0,madrugada
IB,AEP,GRU,6886,0,2025,1,0,madrugada
AA,MAD,GRU,11516,0,2025,1,0,madrugada
AA,AEP,MIA,10854,0,2025,1,0,madrugada
AR,AEP,MIA,11626,0,2025,1,0,madrugada
G3,MIA,AEP,6864,1,2025,1,0,mañana
IB,MAD,EZE,2606,0,2025,1,0,mañana
LA,MIA,MAD,8591,1,2025,1,0,mañana
AA,MAD,AEP,11126,0,2025,1,0,mañana
AR,MAD,EZE,11877,0,2025,1,0,mañana
AR,MIA,MAD,2503,0,2025,1,0,mañana
IB,AEP,GRU,8668,1,2025,1,0,tarde
AA,GRU,EZE,5607,0,2025,1,0,tarde
G3,MIA,EZE,9007,1,2025,1,0,tarde
AA,MAD,MIA,7125,0,2025,1,0,tarde
IB,MIA,EZE,11948,1,2025,1,0,tarde
IB,AEP,MAD,6223,1,2025,1,0,tarde
AA,GRU,MIA,11166,1,2025,1,0,noche
IB,AEP,EZE,8823,1,2025,1,0,noche
AA,MAD,AEP,4094,1,2025,1,0,noche
LA,MAD,AEP,4801,0,2025,1,0,noche
AA,MAD,EZE,7513,0,2025,1,0,madrugada
AA,MAD,MIA,1227,0,2025,1,0,madrugada
IB,GRU,MIA,2171,0,2025,1,0,madrugada
IB,GRU,MIA,6647,0,2025,1,0,madrugada
AR,MAD,MIA,8175,0,2025,1,0,madrugada
AR,MIA,AEP,1896,0,2025,1,0,madrugada
LA,EZE,GRU,2075,0,2025,1,0,madrugada
AR,MIA,EZE,5600,0,2025,1,0,madrugada
AA,MIA,AEP,5530,0,2025,1,0,mañana
IB,MAD,MIA,926,0,2025,1,0,mañana
AR,GRU,MIA,5027,1,2025,1,0,mañana
AR,GRU,EZE,2085,0,2025,1,0,mañana
LA,MIA,GRU,1424,0,2025,1,0,mañana
LA,MIA,GRU,1234,0,2025,1,0,mañana
AA,MIA,EZE,10240,0,2025,1,0,tarde
IB,MAD,GRU,10547,0,2025,1,0,tarde
LA,AEP,GRU,11695,0,2025,1,0,tarde
AR,EZE,GRU,6452,0,2025,1,0,tarde
IB,MAD,MIA,2752,0,2025,1,0,tarde
IB,EZE,AEP,9926,1,2025,1,0,tarde
AR,AEP,EZE,4429,1,2025,1,0,noche
LA,AEP,MIA,914,1,2025,1,0,noche
AR,MAD,GRU,932,0,2025,1,0,noche
IB,GRU,AEP,3136,0,2025,1,0,noche
G3,GRU,MAD,11116,1,2025,1,0,madrugada
G3,EZE,GRU,7599,1,2025,1,0,madrugada
AA,GRU,MAD,9474,0,2025,1,1,madrugada
AR,MIA,GRU,10760,0,2025,1,1,madrugada
AR,MIA,AEP,2263,0,2025,1,1,madrugada
AA,AEP,EZE,5375,0,2025,1,1,madrugada
AA,MAD,MIA,9665,0,2025,1,1,madrugada
AA,GRU,MAD,6048,0,2025,1,1,madrugada
IB,AEP,GRU,8781,0,2025,1,1,mañana
AR,MIA,EZE,10200,0,2025,1,1,mañana
IB,GRU,MAD,1912,0,2025,1,1,mañana
AA,GRU,AEP,3005,0,2025,1,1,mañana
AR,MAD,AEP,2222,0,2025,1,1,mañana
IB,GRU,MIA,7038,0,2025,1,1,mañana
IB,GRU,AEP,8892,0,2025,1,1,tarde
AA,MAD,EZE,6732,0,2025,1,1,tarde
AR,EZE,GRU,1386,0,2025,1,1,tarde
AA,GRU,EZE,4687,0,2025,1,1,tarde
AR,MAD,GRU,2178,0,2025,1,1,tarde
G3,AEP,MIA,1556,1,2025,1,1,tarde
LA,AEP,MAD,2728,0,2025,1,1,noche
LA,MIA,MAD,6706,1,2025,1,1,noche
LA,MAD,EZE,4592,1,2025,1,1,noche
AA,GRU,MIA,9566,0,2025,1,1,noche
G3,AEP,MAD,8521,1,2025,1,1,madrugada
AR,GRU,EZE,4714,0,2025,1,1,madrugada
IB,MAD,MIA,840,0,2025,1,1,madrugada
AR,AEP,MIA,4636,0,2025,1,1,madrugada
IB,MIA,AEP,9596,0,2025,1,1,madrugada
AR,AEP,GRU,4345,0,2025,1,1,madrugada
G3,MIA,GRU,2463,1,2025,1,1,madrugada
IB,MAD,MIA,8877,0,2025,1,1,madrugada
AA,EZE,MIA,9598,0,2025,1,1,mañana
AR,MAD,AEP,1642,0,2025,1,1,mañana
AR,MIA,GRU,2173,0,2025,1,1,mañana
IB,GRU,EZE,552,0,2025,1,1,mañana
AA,AEP,EZE,11178,0,2025,1,1,mañana
AA,AEP,GRU,4188,0,2025,1,1,mañana
G3,MIA,EZE,3952,1,2025,1,1,tarde
AA,AEP,EZE,8338,0,2025,1,1,tarde
AA,MIA,AEP,10847,0,2025,1,1,tarde
AA,GRU,AEP,8583,1,2025,1,1,tarde
LA,EZE,AEP,10004,0,2025,1,1,tarde
G3,MAD,AEP,2717,1,2025,1,1,tarde
AR,GRU,EZE,3201,1,2025,1,1,noche
IB,GRU,AEP,6553,1,2025,1,1,noche
AR,AEP,MAD,11396,1,2025,1,1,noche
G3,AEP,MIA,5937,1,2025,1,1,noche
IB,EZE,AEP,7729,0,2025,1,1,madrugada
G3,MIA,GRU,3016,1,2025,1,1,madrugada
AA,MIA,MAD,7523,0,2025,1,0,madrugada
IB,GRU,EZE,10279,0,2025,1,0,madrugada
AA,GRU,MAD,3042,1,2025,1,0,madrugada
AR,AEP,EZE,5101,0,2025,1,0,madrugada
AR,MIA,GRU,10021,0,2025,1,0,madrugada
IB,EZE,GRU,1480,0,2025,1,0,madrugada
IB,GRU,MAD,10926,0,2025,1,0,mañana
G3,AEP,EZE,11528,0,2025,1,0,mañana
G3,MAD,AEP,3086,1,2025,1,0,mañana
AA,MAD,AEP,5780,0,2025,1,0,mañana
IB,MAD,GRU,6183,0,2025,1,0,mañana
AR,MAD,MIA,9341,0,2025,1,0,mañana
G3,GRU,MIA,959,1,2025,1,0,tarde
G3,MIA,MAD,2585,1,2025,1,0,tarde
AR,MIA,AEP,8651,0,2025,1,0,tarde
G3,MIA,AEP,11572,1,2025,1,0,tarde
AA,EZE,GRU,2952,0,2025,1,0,tarde
IB,EZE,AEP,3645,1,2025,1,0,tarde
AR,MIA,GRU,7901,1,2025,1,0,noche
IB,GRU,AEP,7595,1,2025,1,0,noche
G3,MAD,MIA,4022,1,2025,1,0,noche
G3,MAD,EZE,11264,0,2025,1,0,noche
AR,MIA,AEP,3806,0,2025,1,0,madrugada
AA,AEP,GRU,2338,0,2025,1,0,madrugada
LA,GRU,EZE,11160,0,2025,1,0,madrugada
AR,AEP,MIA,2741,0,2025,1,0,madrugada
LA,AEP,MIA,7804,0,2025,1,0,madrugada
LA,GRU,EZE,7903,0,2025,1,0,madrugada
AA,GRU,MIA,10316,0,2025,1,0,madrugada
LA,EZE,GRU,6155,1,2025,1,0,madrugada
LA,EZE,AEP,9769,0,2025,1,0,mañana
AA,MAD,EZE,3913,0,2025,1,0,mañana
LA,EZE,MIA,6568,0,2025,1,0,mañana
LA,AEP,MIA,6791,0,2025,1,0,mañana
LA,GRU,EZE,4131,0,2025,1,0,mañana
AR,MAD,AEP,2889,0,2025,1,0,mañana
AR,EZE,GRU,3394,0,2025,1,0,tarde
AR,MAD,MIA,4645,0,2025,1,0,tarde
AA,MIA,GRU,6599,1,2025,1,0,tarde
G3,EZE,GRU,4248,1,2025,1,0,tarde
LA,MAD,EZE,10563,0,2025,1,0,tarde
LA,GRU,MAD,7766,1,2025,1,0,tarde
AA,AEP,MAD,4959,0,2025,1,0,noche
LA,GRU,EZE,5818,1,2025,1,0,noche
AR,MIA,EZE,11291,1,2025,1,0,noche
G3,EZE,MAD,11107,1,2025,1,0,noche
IB,MIA,AEP,7304,0,2025,1,0,madrugada
LA,AEP,EZE,10045,0,2025,1,0,madrugada
AR,EZE,MAD,1809,0,2025,1,0,madrugada
IB,EZE,GRU,8967,0,2025,1,0,madrugada
G3,AEP,MAD,1128,1,2025,1,0,madrugada
IB,MIA,AEP,11867,1,2025,1,0,madrugada
AR,GRU,MAD,6235,0,2025,1,0,madrugada
IB,AEP,EZE,5977,1,2025,1,0,madrugada
AA,MAD,GRU,8812,1,2025,1,0,mañana
IB,GRU,AEP,2164,0,2025,1,0,mañana
LA,EZE,AEP,10594,0,2025,1,0,mañana
LA,AEP,GRU,10622,0,2025,1,0,mañana
AA,AEP,MAD,3164,0,2025,1,0,mañana
AR,MAD,GRU,7023,0,2025,1,0,mañana
LA,MIA,AEP,1890,0,2025,1,0,tarde
G3,MAD,EZE,9759,1,2025,1,0,tarde
LA,MAD,GRU,8505,0,2025,1,0,tarde
LA,MIA,AEP,4446,0,2025,1,0,tarde
AR,EZE,GRU,909,0,2025,1,0,tarde
IB,AEP,GRU,725,1,2025,1,0,tarde
LA,GRU,MAD,3593,1,2025,1,0,noche
AA,EZE,GRU,3489,1,2025,1,0,noche
IB,EZE,GRU,4367,1,2025,1,0,noche
G3,EZE,MAD,8739,1,2025,1,0,noche
AR,GRU,AEP,2896,0,2025,1,0,madrugada
G3,AEP,GRU,2897,1,2025,1,0,madrugada
IB,EZE,GRU,8089,1,2025,1,0,madrugada
IB,MAD,EZE,11936,0,2025,1,0,madrugada
IB,GRU,MIA,8502,1,2025,1,0,madrugada
G3,MIA,MAD,2709,1,2025,1,0,madrugada
IB,AEP,EZE,5450,0,2025,1,0,madrugada
G3,MAD,EZE,4586,0,2025,1,0,madrugada
IB,GRU,AEP,5602,0,2025,1,0,mañana
AA,GRU,MAD,722,0,2025,1,0,mañana
IB,MIA,EZE,11762,0,2025,1,0,mañana
G3,GRU,MIA,3443,0,2025,1,0,mañana
LA,AEP,MIA,2436,0,2025,1,0,mañana
IB,MAD,GRU,6262,0,2025,1,0,mañana
LA,GRU,MAD,2102,0,2025,1,0,tarde
AA,MIA,EZE,5243,0,2025,1,0,tarde
AR,AEP,MIA,5921,0,2025,1,0,tarde
AA,GRU,MIA,3331,0,2025,1,0,tarde
IB,EZE,MAD,10844,0,2025,1,0,tarde
LA,EZE,AEP,8157,0,2025,1,0,tarde
LA,MIA,AEP,4128,1,2025,1,0,noche
G3,EZE,MAD,4415,1,2025,1,0,noche
LA,EZE,AEP,6130,1,2025,1,0,noche
G3,AEP,MAD,2260,1,2025,1,0,noche
AR,AEP,EZE,2239,0,2025,1,0,madrugada
IB,MAD,MIA,4263,0,2025,1,0,madrugada
G3,MAD,EZE,6016,1,2025,1,0,madrugada
AR,MAD,EZE,8720,0,2025,1,0,madrugada
LA,AEP,MIA,1650,0,2025,1,0,madrugada
LA,AEP,MAD,8326,1,2025,1,0,madrugada
AR,AEP,MAD,2360,0,2025,1,0,madrugada
LA,EZE,GRU,2115,0,2025,1,0,madrugada
AR,MAD,MIA,2299,0,2025,1,0,mañana
G3,EZE,AEP,809,1,2025,1,0,mañana
G3,MAD,AEP,4649,1,2025,1,0,mañana
AR,MIA,EZE,6456,0,2025,1,0,mañana
G3,EZE,GRU,7101,1,2025,1,0,mañana
G3,MAD,GRU,10788,1,2025,1,0,mañana
G3,GRU,EZE,5056,1,2025,1,0,tarde
AA,MIA,EZE,1937,0,2025,1,0,tarde
IB,EZE,AEP,3889,1,2025,1,0,tarde
LA,EZE,MAD,6448,0,2025,1,0,tarde
AA,GRU,AEP,863,0,2025,1,0,tarde
G3,AEP,MAD,11439,0,2025,1,0,tarde
AR,GRU,MAD,7331,0,2025,1,0,noche
G3,AEP,MIA,4222,1,2025,1,0,noche
IB,EZE,AEP,618,0,2025,1,0,noche
G3,AEP,EZE,3567,1,2025,1,0,noche
AR,GRU,AEP,9651,0,2025,1,0,madrugada
IB,MAD,GRU,1577,0,2025,1,0,madrugada
G3,MIA,EZE,10067,1,2025,1,1,madrugada
IB,EZE,GRU,10017,0,2025,1,1,madrugada
LA,MIA,EZE,10741,0,2025,1,1,madrugada
LA,GRU,AEP,3114,0,2025,1,1,madrugada
G3,MIA,AEP,8081,1,2025,1,1,madrugada
IB,MAD,EZE,769,0,2025,1,1,madrugada
AR,MAD,GRU,1956,0,2025,1,1,mañana
G3,MAD,AEP,7327,1,2025,1,1,mañana
LA,GRU,EZE,1782,0,2025,1,1,mañana
LA,MAD,AEP,10946,0,2025,1,1,mañana
G3,EZE,MIA,11300,1,2025,1,1,mañana
IB,MAD,AEP,5646,0,2025,1,1,mañana
LA,GRU,EZE,9082,0,2025,1,1,tarde
IB,MAD,EZE,2756,0,2025,1,1,tarde
LA,MIA,AEP,1495,0,2025,1,1,tarde
LA,MAD,MIA,7466,0,2025,1,1,tarde
AA,GRU,AEP,4424,0,2025,1,1,tarde
LA,MIA,EZE,2700,1,2025,1,1,tarde
AR,AEP,EZE,1176,1,2025,1,1,noche
G3,EZE,MAD,6815,1,2025,1,1,noche
G3,MAD,MIA,2853,1,2025,1,1,noche
IB,GRU,EZE,1364,0,2025,1,1,noche
LA,EZE,MIA,8735,0,2025,1,1,madrugada
AR,MIA,MAD,3171,0,2025,1,1,madrugada
IB,GRU,AEP,4918,0,2025,1,1,madrugada
AA,MAD,AEP,4039,0,2025,1,1,madrugada
IB,MAD,EZE,10527,0,2025,1,1,madrugada
IB,AEP,EZE,8443,1,2025,1,1,madrugada
LA,EZE,MIA,8552,1,2025,1,1,madrugada
AA,MAD,GRU,7127,1,2025,1,1,madrugada
IB,MIA,MAD,3228,0,2025,1,1,mañana
AR,MIA,EZE,11363,0,2025,1,1,mañana
AR,MIA,MAD,5341,0,2025,1,1,mañana
G3,MIA,GRU,11804,1,2025,1,1,mañana
AA,EZE,MAD,5889,0,2025,1,1,mañana
AA,AEP,MIA,9420,0,2025,1,1,mañana
G3,AEP,EZE,3115,1,2025,1,1,tarde
IB,GRU,EZE,7502,0,2025,1,1,tarde
AA,EZE,AEP,8663,0,2025,1,1,tarde
AR,GRU,MIA,6702,0,2025,1,1,tarde
AR,MAD,AEP,6681,0,2025,1,1,tarde
LA,GRU,EZE,7404,1,2025,1,1,tarde
AA,MIA,EZE,9351,1,2025,1,1,noche
IB,AEP,EZE,2648,0,2025,1,1,noche
G3,AEP,GRU,6791,1,2025,1,1,noche
G3,AEP,MIA,6524,1,2025,1,1,noche
IB,EZE,MIA,2273,0,2025,1,1,madrugada
LA,MIA,MAD,11900,0,2025,1,1,madrugada
G3,GRU,MIA,7181,1,2025,1,0,madrugada
AA,MAD,MIA,9280,0,2025,1,0,madrugada
LA,EZE,MIA,1655,0,2025,1,0,madrugada
AA,MAD,EZE,11116,0,2025,1,0,madrugada
AR,EZE,MIA,2916,0,2025,1,0,madrugada
LA,MIA,AEP,11035,0,2025,1,0,madrugada
G3,EZE,MAD,8257,1,2025,1,0,mañana
LA,MAD,GRU,5284,0,2025,1,0,mañana
LA,EZE,MAD,6234,0,2025,1,0,mañana
LA,MIA,MAD,7920,0,2025,1,0,mañana
LA,AEP,GRU,6309,0,2025,1,0,mañana
AA,EZE,GRU,2328,0,2025,1,0,mañana
AR,MAD,AEP,6127,0,2025,1,0,tarde
IB,MAD,GRU,7818,0,2025,1,0,tarde
LA,EZE,AEP,1076,0,2025,1,0,tarde
G3,MIA,GRU,3997,1,2025,1,0,tarde
LA,GRU,MAD,1624,0,2025,1,0,tarde
G3,AEP,MIA,11833,1,2025,1,0,tarde
AA,MIA,AEP,11396,1,2025,1,0,noche
G3,GRU,AEP,2826,1,2025,1,0,noche
IB,MAD,MIA,5887,1,2025,1,0,noche
AR,EZE,AEP,1886,0,2025,1,0,noche
G3,MAD,AEP,7149,1,2025,1,0,madrugada
G3,EZE,GRU,11746,1,2025,1,0,madrugada
AR,AEP,MIA,10827,0,2025,1,0,madrugada
IB,EZE,MAD,9673,0,2025,1,0,madrugada
LA,MAD,AEP,1424,0,2025,1,0,madrugada
G3,GRU,EZE,4922,1,2025,1,0,madrugada
AR,GRU,MIA,5187,0,2025,1,0,madrugada
AA,GRU,MAD,5282,0,2025,1,0,madrugada
AR,EZE,GRU,6261,0,2025,1,0,mañana
AA,MIA,EZE,5135,0,2025,1,0,mañana
IB,MAD,AEP,11757,0,2025,1,0,mañana
LA,MAD,EZE,1524,0,2025,1,0,mañana
AR,MIA,EZE,7012,0,2025,1,0,mañana
G3,GRU,AEP,2655,1,2025,1,0,mañana
IB,GRU,AEP,11306,0,2025,1,0,tarde
AR,MAD,MIA,2270,0,2025,1,0,tarde
G3,EZE,GRU,10272,1,2025,1,0,tarde
AR,EZE,MAD,8674,0,2025,1,0,tarde
AA,AEP,EZE,7300,0,2025,1,0,tarde
AR,GRU,EZE,4138,1,2025,1,0,tarde
AR,MAD,EZE,10987,1,2025,1,0,noche
AR,EZE,AEP,3419,1,2025,1,0,noche
IB,AEP,GRU,8559,1,2025,1,0,noche
AR,MIA,AEP,1183,0,2025,1,0,noche
G3,EZE,MAD,6520,1,2025,1,0,madrugada
AA,EZE,GRU,615,0,2025,1,0,madrugada
AA,MAD,MIA,7650,1,2025,1,0,madrugada
AR,GRU,AEP,803,0,2025,1,0,madrugada
IB,MAD,MIA,1054,0,2025,1,0,madrugada
IB,MIA,GRU,5682,0,2025,1,0,madrugada
G3,GRU,MAD,5403,1,2025,1,0,madrugada
AR,MAD,GRU,1649,0,2025,1,0,madrugada
AA,EZE,MIA,7214,0,2025,1,0,mañana
IB,MAD,AEP,3366,0,2025,1,0,mañana
